"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","Y"
"9412",35,"self-employed","single","primary","no",45,"no","yes","unknown",6,"jun",81,1,-1,0,"unknown","no"
"2527",25,"management","single","tertiary","no",1270,"yes","no","unknown",13,"may",124,2,-1,0,"unknown","no"
"27441",35,"unemployed","married","primary","no",3285,"no","no","cellular",21,"nov",1555,2,-1,0,"unknown","yes"
"43835",26,"technician","single","tertiary","no",515,"no","no","cellular",31,"may",775,1,-1,0,"unknown","yes"
"23416",37,"housemaid","single","tertiary","no",206,"no","no","cellular",27,"aug",115,5,-1,0,"unknown","no"
"11415",51,"management","divorced","tertiary","no",3415,"yes","no","unknown",19,"jun",677,1,-1,0,"unknown","no"
"24401",35,"management","married","tertiary","no",1108,"yes","no","cellular",17,"nov",52,1,-1,0,"unknown","no"
"13102",34,"blue-collar","married","primary","no",-480,"yes","yes","cellular",8,"jul",225,1,-1,0,"unknown","no"
"41134",37,"management","married","tertiary","no",3794,"no","no","cellular",18,"aug",147,1,379,1,"failure","no"
"7648",34,"management","married","tertiary","no",362,"yes","no","unknown",30,"may",38,3,-1,0,"unknown","no"
"9436",40,"blue-collar","single","primary","no",1055,"no","no","unknown",6,"jun",32,2,-1,0,"unknown","no"
"16365",32,"blue-collar","single","primary","no",33,"no","no","cellular",23,"jul",118,1,-1,0,"unknown","no"
"665",41,"entrepreneur","married","unknown","no",89,"yes","no","unknown",6,"may",333,2,-1,0,"unknown","no"
"41772",51,"entrepreneur","divorced","tertiary","no",2109,"no","no","cellular",13,"oct",79,2,-1,0,"unknown","yes"
"43106",47,"admin.","married","secondary","no",368,"no","no","cellular",23,"feb",269,1,187,5,"success","yes"
"39606",25,"student","single","tertiary","no",326,"no","no","cellular",26,"may",390,1,-1,0,"unknown","yes"
"36458",50,"blue-collar","married","primary","no",0,"yes","no","cellular",11,"may",503,3,339,2,"failure","no"
"44819",37,"admin.","married","secondary","no",529,"yes","no","cellular",16,"sep",234,1,149,2,"other","no"
"21273",46,"blue-collar","married","secondary","no",689,"no","no","cellular",18,"aug",121,7,-1,0,"unknown","no"
"45126",40,"management","divorced","tertiary","no",858,"no","no","cellular",26,"oct",202,2,-1,0,"unknown","yes"
"13654",35,"management","divorced","tertiary","no",153,"no","no","cellular",9,"jul",593,2,-1,0,"unknown","no"
"43553",26,"unemployed","single","tertiary","no",77,"no","no","cellular",26,"apr",175,1,-1,0,"unknown","yes"
"34059",40,"admin.","divorced","secondary","no",2129,"no","no","cellular",30,"apr",452,1,-1,0,"unknown","yes"
"41750",47,"housemaid","married","secondary","no",2524,"no","no","cellular",12,"oct",105,1,-1,0,"unknown","yes"
"12956",30,"technician","married","tertiary","no",101,"yes","yes","cellular",7,"jul",187,3,-1,0,"unknown","no"
"30316",27,"technician","married","secondary","no",616,"yes","no","cellular",5,"feb",263,1,-1,0,"unknown","no"
"14974",59,"management","married","tertiary","no",220,"yes","no","telephone",16,"jul",30,2,-1,0,"unknown","no"
"38659",57,"admin.","married","secondary","no",407,"yes","yes","cellular",15,"may",166,3,-1,0,"unknown","no"
"35675",38,"blue-collar","single","primary","no",0,"yes","yes","cellular",8,"may",84,1,290,1,"failure","no"
"5917",42,"blue-collar","married","secondary","no",-921,"yes","no","unknown",26,"may",115,2,-1,0,"unknown","no"
"41914",53,"housemaid","married","primary","no",2581,"no","no","cellular",21,"oct",828,1,189,1,"failure","yes"
"34212",47,"technician","married","secondary","no",335,"no","no","cellular",4,"may",417,1,76,1,"success","yes"
"42548",30,"blue-collar","married","primary","no",5,"no","no","cellular",23,"dec",282,1,203,1,"success","yes"
"29283",31,"management","single","tertiary","no",1017,"no","no","cellular",2,"feb",83,1,-1,0,"unknown","no"
"40405",69,"retired","divorced","primary","no",482,"no","no","cellular",2,"jul",260,2,-1,0,"unknown","yes"
"22518",50,"management","married","tertiary","yes",72,"no","no","cellular",22,"aug",171,13,-1,0,"unknown","no"
"24257",57,"technician","married","tertiary","no",0,"yes","yes","cellular",17,"nov",142,1,-1,0,"unknown","no"
"42536",31,"technician","married","tertiary","no",3338,"yes","no","cellular",21,"dec",264,2,-1,0,"unknown","yes"
"41964",77,"management","married","unknown","no",1780,"yes","no","cellular",23,"oct",221,2,183,3,"success","yes"
"43901",27,"admin.","single","secondary","no",240,"yes","yes","unknown",9,"jun",46,1,-1,0,"unknown","no"
"44088",60,"technician","married","secondary","no",259,"no","no","cellular",6,"jul",396,1,386,2,"success","yes"
"15656",38,"management","married","tertiary","no",-558,"yes","no","cellular",21,"jul",533,1,-1,0,"unknown","no"
"28243",29,"blue-collar","single","tertiary","no",251,"no","no","cellular",29,"jan",212,1,-1,0,"unknown","no"
"32434",50,"management","married","tertiary","no",469,"no","no","cellular",16,"apr",161,1,-1,0,"unknown","yes"
"9918",60,"retired","married","tertiary","no",2261,"no","no","unknown",9,"jun",245,1,-1,0,"unknown","no"
"14230",33,"technician","married","secondary","no",162,"yes","yes","cellular",14,"jul",122,2,-1,0,"unknown","no"
"9789",54,"management","married","tertiary","yes",153,"no","no","unknown",9,"jun",99,3,-1,0,"unknown","no"
"24370",42,"management","single","tertiary","no",328,"yes","yes","cellular",17,"nov",125,1,-1,0,"unknown","no"
"1844",27,"unemployed","married","primary","no",7459,"yes","no","unknown",9,"may",407,2,-1,0,"unknown","no"
"17900",46,"self-employed","divorced","tertiary","no",21,"no","no","cellular",30,"jul",566,2,-1,0,"unknown","yes"
"2759",50,"admin.","married","secondary","no",1917,"yes","no","unknown",14,"may",200,2,-1,0,"unknown","no"
"23463",60,"blue-collar","married","primary","no",1138,"yes","no","cellular",28,"aug",116,4,-1,0,"unknown","no"
"17331",34,"technician","married","secondary","no",357,"yes","no","cellular",28,"jul",25,20,-1,0,"unknown","no"
"24570",55,"technician","married","tertiary","no",0,"no","no","cellular",17,"nov",501,1,-1,0,"unknown","no"
"33461",33,"management","single","tertiary","no",6807,"no","no","cellular",20,"apr",163,1,-1,0,"unknown","yes"
"15712",58,"housemaid","married","tertiary","no",0,"yes","no","cellular",21,"jul",111,1,-1,0,"unknown","no"
"23776",39,"management","married","tertiary","no",-17,"yes","yes","cellular",28,"aug",908,1,-1,0,"unknown","yes"
"20160",60,"management","married","tertiary","no",371,"no","yes","cellular",11,"aug",102,8,-1,0,"unknown","no"
"43621",80,"retired","married","primary","no",155,"no","no","telephone",4,"may",209,1,53,3,"success","yes"
"17491",59,"entrepreneur","divorced","secondary","no",0,"no","yes","cellular",28,"jul",206,10,-1,0,"unknown","no"
"43018",26,"unemployed","single","secondary","no",632,"no","no","cellular",12,"feb",218,1,-1,0,"unknown","yes"
"40627",31,"admin.","single","secondary","no",40,"no","no","cellular",4,"aug",158,1,104,2,"failure","no"
"10064",42,"admin.","married","secondary","no",105,"no","no","unknown",11,"jun",1159,4,-1,0,"unknown","yes"
"15660",56,"retired","divorced","tertiary","no",158,"no","yes","cellular",21,"jul",854,1,-1,0,"unknown","yes"
"41726",34,"blue-collar","single","unknown","no",484,"no","no","cellular",8,"oct",90,1,-1,0,"unknown","no"
"10128",43,"management","married","tertiary","no",5523,"no","no","unknown",11,"jun",78,1,-1,0,"unknown","no"
"31491",49,"management","divorced","tertiary","no",20727,"no","no","cellular",1,"apr",285,3,132,2,"failure","no"
"37081",47,"blue-collar","married","primary","no",4227,"yes","no","cellular",13,"may",659,1,-1,0,"unknown","yes"
"35879",37,"services","married","secondary","no",3429,"yes","yes","cellular",8,"may",151,4,171,11,"other","no"
"11769",44,"blue-collar","married","primary","yes",0,"no","yes","unknown",20,"jun",144,1,-1,0,"unknown","no"
"28356",49,"services","single","secondary","no",178,"yes","yes","cellular",29,"jan",197,1,-1,0,"unknown","no"
"31224",33,"blue-collar","single","secondary","no",1925,"yes","no","cellular",2,"mar",76,2,-1,0,"unknown","no"
"13891",30,"services","single","secondary","no",85,"yes","no","cellular",10,"jul",81,7,-1,0,"unknown","no"
"10299",49,"admin.","divorced","secondary","no",1709,"yes","no","unknown",12,"jun",106,1,-1,0,"unknown","no"
"31820",33,"management","single","tertiary","no",318,"yes","no","cellular",8,"apr",1190,1,141,3,"other","yes"
"30950",34,"unemployed","married","tertiary","no",582,"yes","no","cellular",9,"feb",189,3,-1,0,"unknown","no"
"33315",27,"services","married","secondary","no",472,"yes","no","cellular",20,"apr",144,4,-1,0,"unknown","no"
"29350",32,"technician","single","tertiary","no",1534,"no","no","cellular",2,"feb",199,2,-1,0,"unknown","no"
"4664",40,"management","married","tertiary","no",917,"yes","no","unknown",20,"may",292,1,-1,0,"unknown","no"
"20645",31,"management","single","tertiary","no",391,"yes","no","cellular",12,"aug",454,3,-1,0,"unknown","no"
"43048",23,"student","single","secondary","no",1234,"no","no","cellular",15,"feb",379,1,91,1,"success","yes"
"36729",32,"blue-collar","married","secondary","no",1787,"yes","no","cellular",12,"may",87,4,357,4,"failure","no"
"7985",55,"technician","single","secondary","no",3339,"yes","no","unknown",2,"jun",63,1,-1,0,"unknown","no"
"44077",32,"student","single","secondary","no",61,"no","yes","cellular",5,"jul",178,3,515,7,"failure","no"
"31117",75,"retired","married","primary","no",358,"no","no","cellular",17,"feb",364,11,-1,0,"unknown","yes"
"8959",30,"admin.","single","secondary","no",705,"yes","no","unknown",4,"jun",235,1,-1,0,"unknown","no"
"34143",29,"management","single","tertiary","no",2753,"no","no","cellular",30,"apr",645,1,-1,0,"unknown","yes"
"14129",56,"management","married","tertiary","no",-762,"yes","yes","cellular",11,"jul",348,2,-1,0,"unknown","no"
"18503",42,"admin.","single","secondary","no",4343,"no","no","cellular",31,"jul",245,4,-1,0,"unknown","no"
"29419",26,"services","single","tertiary","no",2803,"no","no","cellular",3,"feb",11,7,-1,0,"unknown","no"
"14690",32,"admin.","married","secondary","no",3,"yes","yes","cellular",15,"jul",612,4,-1,0,"unknown","no"
"10622",39,"management","married","secondary","no",2198,"no","no","unknown",16,"jun",418,1,-1,0,"unknown","no"
"27711",36,"blue-collar","married","primary","no",156,"yes","no","cellular",21,"nov",219,2,-1,0,"unknown","no"
"32589",43,"blue-collar","married","secondary","no",948,"yes","no","cellular",17,"apr",185,1,336,2,"other","no"
"18889",52,"management","married","tertiary","no",193,"no","no","cellular",4,"aug",145,1,-1,0,"unknown","no"
"5347",40,"services","divorced","secondary","no",5745,"yes","yes","unknown",23,"may",37,1,-1,0,"unknown","no"
"1936",27,"services","single","secondary","no",683,"yes","no","unknown",9,"may",44,3,-1,0,"unknown","no"
"40183",57,"management","married","tertiary","no",256,"no","no","cellular",5,"jun",304,2,91,1,"success","yes"
"32770",39,"blue-collar","married","primary","no",390,"yes","no","cellular",17,"apr",206,1,-1,0,"unknown","no"
"32679",28,"services","single","secondary","no",3028,"yes","no","cellular",17,"apr",183,1,-1,0,"unknown","no"
"9391",41,"blue-collar","married","secondary","no",901,"yes","no","unknown",6,"jun",80,3,-1,0,"unknown","no"
"7611",37,"management","married","tertiary","no",569,"yes","no","unknown",30,"may",92,1,-1,0,"unknown","no"
"8962",29,"self-employed","married","tertiary","yes",0,"yes","yes","unknown",5,"jun",399,3,-1,0,"unknown","no"
"40456",31,"services","married","secondary","no",1167,"no","no","cellular",3,"jul",603,1,-1,0,"unknown","no"
"24089",37,"admin.","married","secondary","no",1967,"no","no","telephone",27,"oct",376,1,-1,0,"unknown","yes"
"19167",49,"technician","married","secondary","no",195,"no","no","cellular",5,"aug",211,2,-1,0,"unknown","no"
"31282",44,"management","single","tertiary","no",483,"no","no","cellular",6,"mar",207,2,199,6,"success","yes"
"5385",32,"technician","divorced","tertiary","no",0,"yes","yes","unknown",23,"may",80,1,-1,0,"unknown","no"
"29903",56,"management","divorced","tertiary","no",2189,"no","no","cellular",4,"feb",180,1,-1,0,"unknown","no"
"227",58,"management","married","unknown","no",1065,"yes","no","unknown",5,"may",213,3,-1,0,"unknown","no"
"32022",44,"services","married","secondary","no",1450,"yes","no","cellular",14,"apr",356,1,314,2,"failure","no"
"8798",30,"admin.","single","secondary","yes",-242,"no","no","unknown",4,"jun",276,1,-1,0,"unknown","no"
"17945",50,"admin.","single","primary","no",1367,"no","no","telephone",30,"jul",270,2,-1,0,"unknown","no"
"16157",61,"technician","married","secondary","no",50,"yes","no","cellular",22,"jul",213,5,-1,0,"unknown","no"
"7289",36,"self-employed","single","secondary","no",3670,"yes","no","unknown",29,"may",617,2,-1,0,"unknown","no"
"13127",41,"admin.","single","secondary","no",26,"no","no","cellular",8,"jul",428,1,-1,0,"unknown","no"
"7052",44,"blue-collar","married","primary","no",194,"yes","no","unknown",28,"may",105,2,-1,0,"unknown","no"
"18415",48,"management","married","secondary","no",-876,"no","yes","cellular",31,"jul",6,16,-1,0,"unknown","no"
"20611",57,"retired","married","tertiary","no",0,"no","no","cellular",12,"aug",116,4,-1,0,"unknown","no"
"39112",53,"blue-collar","married","primary","no",273,"yes","no","cellular",18,"may",248,1,279,2,"failure","no"
"34036",30,"admin.","single","secondary","no",270,"no","no","cellular",30,"apr",437,1,80,1,"success","yes"
"41841",57,"management","married","tertiary","no",1318,"no","no","cellular",16,"oct",115,1,185,2,"failure","yes"
"43050",27,"management","single","tertiary","no",-69,"yes","no","cellular",15,"feb",205,3,-1,0,"unknown","yes"
"25629",49,"services","married","unknown","no",1990,"yes","no","cellular",19,"nov",44,4,-1,0,"unknown","no"
"4962",31,"services","married","secondary","no",891,"yes","no","unknown",21,"may",44,3,-1,0,"unknown","no"
"28913",36,"admin.","single","secondary","no",115,"no","no","cellular",2,"feb",225,1,-1,0,"unknown","no"
"41850",27,"management","married","tertiary","no",893,"no","no","cellular",16,"oct",154,2,-1,0,"unknown","yes"
"33862",30,"technician","single","tertiary","no",53,"no","no","cellular",29,"apr",375,1,-1,0,"unknown","yes"
"41242",59,"unemployed","married","secondary","no",1047,"no","no","cellular",21,"aug",438,1,184,3,"success","yes"
"43022",52,"management","married","tertiary","no",4675,"no","no","cellular",12,"feb",181,3,-1,0,"unknown","yes"
"34894",34,"entrepreneur","married","tertiary","no",0,"yes","no","cellular",6,"may",611,1,183,1,"failure","yes"
"4781",33,"services","married","tertiary","no",1349,"yes","no","unknown",21,"may",120,1,-1,0,"unknown","no"
"16585",42,"entrepreneur","married","tertiary","no",-14,"yes","no","cellular",24,"jul",58,2,-1,0,"unknown","no"
"10247",52,"unemployed","married","unknown","no",83,"yes","no","unknown",11,"jun",26,29,-1,0,"unknown","no"
"41582",32,"technician","single","tertiary","no",1855,"no","no","cellular",15,"sep",126,2,134,1,"other","yes"
"8837",27,"entrepreneur","single","tertiary","no",0,"yes","no","unknown",4,"jun",103,2,-1,0,"unknown","no"
"8667",48,"blue-collar","married","secondary","no",750,"yes","no","unknown",3,"jun",246,5,-1,0,"unknown","no"
"42422",27,"student","single","unknown","no",3511,"no","no","cellular",4,"dec",300,3,-1,0,"unknown","no"
"14011",29,"management","married","tertiary","no",6586,"no","no","cellular",10,"jul",176,1,-1,0,"unknown","no"
"20632",34,"management","married","tertiary","no",520,"yes","no","cellular",12,"aug",1307,4,-1,0,"unknown","yes"
"4951",29,"admin.","married","secondary","no",688,"yes","no","unknown",21,"may",211,1,-1,0,"unknown","no"
"17256",26,"blue-collar","single","secondary","no",37,"no","yes","cellular",28,"jul",301,2,-1,0,"unknown","no"
"38819",32,"blue-collar","married","tertiary","no",143,"yes","yes","cellular",18,"may",90,1,-1,0,"unknown","no"
"4259",22,"blue-collar","married","secondary","no",36,"yes","no","unknown",19,"may",120,3,-1,0,"unknown","no"
"14854",31,"unemployed","divorced","tertiary","no",256,"yes","no","cellular",16,"jul",873,2,-1,0,"unknown","yes"
"44688",52,"management","married","unknown","no",1708,"no","no","unknown",6,"sep",310,1,75,4,"failure","yes"
"38620",34,"admin.","divorced","secondary","no",1268,"yes","no","cellular",15,"may",259,3,-1,0,"unknown","no"
"38762",28,"admin.","single","secondary","no",3029,"yes","no","cellular",18,"may",58,6,-1,0,"unknown","no"
"4939",30,"services","married","tertiary","no",1380,"yes","no","unknown",21,"may",294,2,-1,0,"unknown","no"
"44293",44,"self-employed","divorced","secondary","no",8,"no","no","cellular",26,"jul",423,4,-1,0,"unknown","yes"
"25871",38,"technician","single","secondary","no",884,"yes","yes","cellular",19,"nov",295,1,111,2,"failure","no"
"39625",32,"management","married","tertiary","no",410,"yes","no","cellular",26,"may",252,2,-1,0,"unknown","no"
"7461",38,"management","divorced","tertiary","no",4692,"yes","no","unknown",29,"may",1363,2,-1,0,"unknown","yes"
"31473",38,"blue-collar","single","tertiary","no",172,"yes","no","cellular",1,"apr",1176,1,-1,0,"unknown","yes"
"36133",49,"blue-collar","married","primary","no",6215,"yes","no","cellular",11,"may",549,1,-1,0,"unknown","no"
"41608",28,"admin.","single","secondary","no",762,"no","no","cellular",18,"sep",115,3,-1,0,"unknown","yes"
"6473",30,"blue-collar","married","primary","no",554,"yes","no","unknown",27,"may",89,5,-1,0,"unknown","no"
"9327",39,"blue-collar","married","secondary","no",599,"yes","no","unknown",6,"jun",53,1,-1,0,"unknown","no"
"6895",35,"blue-collar","divorced","secondary","no",105,"yes","yes","unknown",28,"may",118,1,-1,0,"unknown","no"
"15634",41,"technician","married","secondary","no",525,"yes","no","cellular",21,"jul",108,1,-1,0,"unknown","no"
"43382",56,"housemaid","single","tertiary","no",1947,"no","no","unknown",30,"mar",110,1,-1,0,"unknown","yes"
"11690",32,"blue-collar","married","secondary","no",1873,"yes","yes","unknown",20,"jun",23,24,-1,0,"unknown","no"
"9900",40,"technician","married","tertiary","no",2946,"no","no","unknown",9,"jun",78,2,-1,0,"unknown","no"
"21217",51,"technician","married","secondary","no",47,"no","no","cellular",18,"aug",54,4,-1,0,"unknown","no"
"24917",41,"management","married","tertiary","no",97,"no","no","cellular",18,"nov",130,1,-1,0,"unknown","no"
"43839",55,"admin.","married","secondary","no",8304,"no","no","cellular",1,"jun",201,1,-1,0,"unknown","yes"
"26544",35,"blue-collar","single","primary","no",258,"yes","no","cellular",20,"nov",144,1,-1,0,"unknown","no"
"44899",24,"management","single","tertiary","no",393,"no","no","cellular",27,"sep",1298,1,-1,0,"unknown","yes"
"20480",37,"technician","single","secondary","no",353,"yes","no","cellular",12,"aug",147,2,-1,0,"unknown","no"
"34247",32,"student","single","tertiary","no",1138,"no","no","cellular",4,"may",214,3,83,3,"success","yes"
"13685",27,"blue-collar","single","secondary","no",228,"no","no","cellular",9,"jul",799,6,-1,0,"unknown","no"
"12714",35,"unknown","married","primary","no",634,"no","no","cellular",7,"jul",185,2,-1,0,"unknown","no"
"22170",51,"management","married","tertiary","no",307,"no","no","cellular",21,"aug",244,6,-1,0,"unknown","no"
"3463",43,"management","married","tertiary","no",8016,"yes","no","unknown",15,"may",422,3,-1,0,"unknown","no"
"35712",54,"entrepreneur","married","unknown","no",19,"yes","no","cellular",8,"may",103,1,368,1,"failure","no"
"1174",39,"blue-collar","married","primary","no",70,"no","no","unknown",8,"may",813,1,-1,0,"unknown","yes"
"5827",47,"technician","married","tertiary","no",192,"yes","no","unknown",26,"may",596,1,-1,0,"unknown","no"
"28987",42,"admin.","divorced","secondary","no",814,"yes","no","cellular",2,"feb",326,5,-1,0,"unknown","no"
"13611",32,"blue-collar","divorced","secondary","no",0,"no","no","telephone",9,"jul",49,1,-1,0,"unknown","no"
"19206",61,"retired","married","secondary","no",77,"no","no","cellular",6,"aug",455,4,-1,0,"unknown","yes"
"11906",45,"unemployed","divorced","secondary","no",5163,"no","no","unknown",20,"jun",9,2,-1,0,"unknown","no"
"3944",29,"services","married","tertiary","no",62,"yes","yes","unknown",16,"may",280,2,-1,0,"unknown","no"
"44907",32,"management","single","tertiary","no",414,"no","no","unknown",29,"sep",21,1,680,5,"failure","no"
"43212",26,"admin.","single","tertiary","no",760,"yes","no","cellular",4,"mar",456,2,281,5,"success","yes"
"18896",35,"management","single","tertiary","no",837,"no","no","cellular",4,"aug",329,1,-1,0,"unknown","no"
"22405",33,"management","married","tertiary","no",4570,"no","no","cellular",22,"aug",1258,2,-1,0,"unknown","yes"
"13407",35,"blue-collar","married","secondary","no",616,"no","no","cellular",9,"jul",317,1,-1,0,"unknown","no"
"45063",58,"retired","married","primary","no",742,"no","no","unknown",20,"oct",5,1,-1,0,"unknown","no"
"39536",24,"student","single","secondary","no",23878,"no","no","cellular",26,"may",133,1,97,1,"success","yes"
"40374",37,"admin.","married","secondary","no",2061,"yes","yes","cellular",22,"jun",459,1,109,3,"failure","yes"
"11028",38,"services","single","unknown","no",1610,"yes","no","unknown",17,"jun",76,6,-1,0,"unknown","no"
"25898",50,"self-employed","married","tertiary","no",4012,"no","no","cellular",19,"nov",690,3,-1,0,"unknown","no"
"6241",31,"management","single","tertiary","no",2124,"yes","no","unknown",27,"may",316,2,-1,0,"unknown","no"
"43155",74,"retired","married","primary","no",1413,"no","no","cellular",25,"feb",385,2,-1,0,"unknown","yes"
"33708",56,"unemployed","married","primary","no",3391,"no","no","cellular",21,"apr",243,1,-1,0,"unknown","yes"
"26428",41,"blue-collar","single","secondary","no",98,"no","yes","cellular",20,"nov",180,1,122,6,"failure","no"
"7943",26,"housemaid","single","secondary","no",229,"yes","no","unknown",30,"may",60,16,-1,0,"unknown","no"
"43262",51,"blue-collar","married","primary","no",3764,"no","no","telephone",9,"mar",450,3,181,6,"success","yes"
"15689",27,"management","single","tertiary","no",831,"yes","no","cellular",21,"jul",369,1,-1,0,"unknown","no"
"40402",72,"self-employed","married","tertiary","no",132,"no","no","cellular",1,"jul",260,2,65,1,"success","yes"
"33691",35,"technician","single","secondary","no",966,"no","no","cellular",21,"apr",71,2,-1,0,"unknown","no"
"23433",35,"entrepreneur","married","tertiary","no",1194,"no","yes","cellular",28,"aug",34,10,-1,0,"unknown","no"
"23212",40,"technician","married","secondary","no",336,"no","no","cellular",27,"aug",156,6,-1,0,"unknown","no"
"13271",38,"admin.","single","secondary","no",0,"no","no","cellular",8,"jul",452,3,-1,0,"unknown","no"
"25531",40,"management","married","tertiary","no",12409,"yes","no","cellular",19,"nov",140,1,99,2,"failure","no"
"44821",23,"self-employed","single","tertiary","no",780,"no","no","cellular",16,"sep",393,1,183,3,"success","yes"
"33415",73,"retired","divorced","tertiary","no",3203,"no","no","cellular",20,"apr",148,1,-1,0,"unknown","yes"
"38978",53,"blue-collar","divorced","primary","no",1815,"yes","no","cellular",18,"may",34,1,-1,0,"unknown","no"
"29544",53,"blue-collar","married","primary","no",751,"yes","no","cellular",3,"feb",1528,2,-1,0,"unknown","yes"
"34839",29,"admin.","married","secondary","no",2,"yes","no","cellular",6,"may",339,1,362,1,"failure","no"
"36130",42,"admin.","married","secondary","no",-396,"yes","no","cellular",11,"may",80,1,308,4,"failure","no"
"38181",26,"services","married","secondary","no",77,"yes","no","cellular",15,"may",619,1,340,4,"failure","yes"
"36061",34,"services","divorced","secondary","no",1826,"yes","no","cellular",11,"may",212,1,-1,0,"unknown","no"
"44813",75,"retired","divorced","primary","no",852,"no","no","cellular",16,"sep",228,1,185,1,"failure","no"
"33875",29,"management","married","tertiary","no",1441,"yes","no","cellular",30,"apr",185,1,85,2,"success","no"
"34090",25,"student","single","secondary","no",1608,"no","no","cellular",30,"apr",664,2,-1,0,"unknown","yes"
"35312",59,"retired","married","secondary","no",599,"yes","no","cellular",7,"may",31,1,-1,0,"unknown","no"
"25121",50,"self-employed","single","tertiary","no",21,"yes","no","cellular",18,"nov",157,1,188,1,"failure","no"
"29402",54,"management","married","tertiary","no",67,"yes","no","cellular",2,"feb",161,3,73,1,"other","no"
"99",39,"technician","married","secondary","no",0,"yes","no","unknown",5,"may",203,1,-1,0,"unknown","no"
"7635",37,"blue-collar","married","secondary","no",-510,"yes","no","unknown",30,"may",461,1,-1,0,"unknown","no"
"2916",45,"technician","married","secondary","no",3395,"yes","no","unknown",14,"may",215,1,-1,0,"unknown","no"
"25949",30,"entrepreneur","married","secondary","no",12737,"no","yes","cellular",19,"nov",589,2,-1,0,"unknown","yes"
"35081",31,"management","single","tertiary","no",59,"yes","yes","cellular",6,"may",1347,2,363,1,"failure","yes"
"44178",49,"services","married","secondary","no",725,"no","yes","unknown",14,"jul",70,1,-1,0,"unknown","no"
"3596",60,"admin.","married","secondary","no",1880,"yes","no","unknown",15,"may",196,4,-1,0,"unknown","no"
"22012",32,"technician","single","secondary","no",0,"no","no","cellular",20,"aug",92,4,-1,0,"unknown","no"
"17859",27,"technician","married","secondary","no",0,"yes","no","cellular",30,"jul",138,8,-1,0,"unknown","no"
"39288",27,"technician","married","tertiary","no",176,"yes","no","cellular",18,"may",10,2,350,7,"other","no"
"29775",38,"admin.","single","secondary","no",221,"yes","no","cellular",4,"feb",93,2,274,2,"failure","no"
"40169",26,"student","single","secondary","no",611,"no","no","cellular",5,"jun",455,3,-1,0,"unknown","no"
"16723",30,"admin.","single","secondary","no",2702,"yes","no","cellular",24,"jul",129,2,-1,0,"unknown","no"
"32517",44,"blue-collar","married","secondary","no",788,"yes","no","cellular",17,"apr",392,1,-1,0,"unknown","no"
"43809",47,"services","divorced","unknown","no",973,"no","no","cellular",27,"may",489,1,479,1,"failure","yes"
"31209",55,"technician","married","secondary","no",0,"yes","yes","cellular",2,"mar",116,1,-1,0,"unknown","yes"
"3117",31,"admin.","married","secondary","no",0,"yes","no","unknown",14,"may",40,2,-1,0,"unknown","no"
"39011",34,"blue-collar","married","secondary","no",243,"yes","no","cellular",18,"may",507,1,-1,0,"unknown","yes"
"17775",45,"technician","married","tertiary","no",4647,"no","no","cellular",29,"jul",109,3,-1,0,"unknown","no"
"25904",44,"technician","married","primary","no",7800,"yes","no","cellular",19,"nov",250,1,-1,0,"unknown","no"
"5687",35,"blue-collar","married","secondary","no",1098,"yes","no","unknown",26,"may",19,17,-1,0,"unknown","no"
