"year","age","maritl","race","education","jobclass","wage"
2003,33,"4. Divorced","1. White","1. < HS Grad","1. Industrial",NA
2005,34,"2. Married","1. White","5. Advanced Degree","2. Information",107.903923866876
2006,22,"1. Never Married","1. White","2. HS Grad","1. Industrial",NA
2009,74,"2. Married","1. White","2. HS Grad","1. Industrial",NA
2003,40,"2. Married","2. Black","3. Some College","2. Information",98.5993438603892
2006,45,"2. Married","1. White","4. College Grad","2. Information",200.543262324662
2009,43,"2. Married","3. Asian","4. College Grad","2. Information",156.503510882633
2005,33,"2. Married","3. Asian","4. College Grad","2. Information",144.944364980516
2009,62,"2. Married","2. Black","4. College Grad","2. Information",118.884359339886
2008,37,"2. Married","1. White","4. College Grad","2. Information",121.430313822622
2004,54,"2. Married","1. White","2. HS Grad","2. Information",111.720849360989
2005,34,"2. Married","1. White","3. Some College","1. Industrial",68.7480877337669
2008,50,"1. Never Married","1. White","4. College Grad","2. Information",114.475713290347
2006,46,"4. Divorced","1. White","3. Some College","1. Industrial",NA
2007,41,"2. Married","1. White","1. < HS Grad","1. Industrial",87.9810327856054
2003,63,"4. Divorced","2. Black","3. Some College","1. Industrial",NA
2007,38,"2. Married","1. White","3. Some College","1. Industrial",128.680488220624
2006,35,"2. Married","1. White","3. Some College","1. Industrial",114.475713290347
2009,29,"2. Married","1. White","4. College Grad","2. Information",112.6488963421
2008,66,"2. Married","1. White","1. < HS Grad","1. Industrial",81.2832532842527
2004,37,"2. Married","1. White","2. HS Grad","2. Information",75.8954848228103
2006,39,"2. Married","2. Black","2. HS Grad","2. Information",NA
2003,42,"2. Married","1. White","2. HS Grad","1. Industrial",85.3839403789827
2007,51,"4. Divorced","1. White","2. HS Grad","1. Industrial",NA
2009,55,"2. Married","3. Asian","5. Advanced Degree","1. Industrial",114.475713290347
2006,51,"2. Married","1. White","5. Advanced Degree","1. Industrial",176.989650489877
2008,38,"2. Married","1. White","5. Advanced Degree","1. Industrial",276.778413321176
2005,49,"2. Married","1. White","2. HS Grad","2. Information",101.82435207568
2006,42,"2. Married","1. White","2. HS Grad","2. Information",91.6992261117042
2009,43,"5. Separated","1. White","1. < HS Grad","2. Information",NA
2006,38,"2. Married","1. White","4. College Grad","2. Information",162.946460744664
2008,59,"2. Married","3. Asian","2. HS Grad","1. Industrial",139.213788138664
2009,57,"2. Married","1. White","3. Some College","1. Industrial",95.2307125669819
2005,25,"1. Never Married","1. White","2. HS Grad","1. Industrial",66.9616443217359
2004,49,"2. Married","1. White","4. College Grad","1. Industrial",131.194323611687
2004,41,"2. Married","1. White","1. < HS Grad","1. Industrial",90.4819133566401
2009,38,"2. Married","1. White","2. HS Grad","1. Industrial",114.475713290347
2003,61,"2. Married","1. White","5. Advanced Degree","1. Industrial",79.1280844956297
2007,49,"4. Divorced","1. White","2. HS Grad","1. Industrial",NA
2008,52,"4. Divorced","1. White","5. Advanced Degree","2. Information",132.487821126123
2007,43,"2. Married","1. White","5. Advanced Degree","2. Information",141.77517233318
2008,60,"2. Married","1. White","4. College Grad","2. Information",123.089699847943
2005,46,"2. Married","3. Asian","5. Advanced Degree","2. Information",134.705375118879
2004,21,"1. Never Married","1. White","2. HS Grad","2. Information",NA
2009,61,"2. Married","1. White","4. College Grad","1. Industrial",106.921814091211
2007,32,"2. Married","2. Black","5. Advanced Degree","2. Information",118.884359339886
2004,58,"2. Married","1. White","2. HS Grad","2. Information",87.9810327856054
2003,35,"1. Never Married","1. White","2. HS Grad","2. Information",88.9296066367913
2004,26,NA,"2. Black","2. HS Grad","2. Information",81.2832532842527
2006,32,"1. Never Married","2. Black","2. HS Grad","1. Industrial",94.0727147457005
2003,37,"2. Married","1. White","2. HS Grad","2. Information",NA
2007,22,"1. Never Married","3. Asian","2. HS Grad","1. Industrial",59.0970640815891
2005,51,"1. Never Married","1. White","2. HS Grad","1. Industrial",65.1108537153447
2004,44,"4. Divorced","1. White","5. Advanced Degree","2. Information",120.589436530402
2005,35,"2. Married","3. Asian","5. Advanced Degree","1. Industrial",157.700527725737
2004,60,"2. Married","1. White","2. HS Grad","2. Information",NA
2007,40,"2. Married","1. White","4. College Grad","2. Information",176.989650489877
2004,35,"1. Never Married","1. White","1. < HS Grad","2. Information",59.0970640815891
2007,35,"2. Married","1. White","5. Advanced Degree","2. Information",94.0727147457005
2008,47,"2. Married","1. White","2. HS Grad","1. Industrial",134.705375118879
2003,43,"1. Never Married","1. White","4. College Grad",NA,81.2832532842527
2003,33,"2. Married","1. White","1. < HS Grad","1. Industrial",NA
2003,60,"4. Divorced","1. White","5. Advanced Degree","1. Industrial",NA
2008,38,"2. Married","3. Asian","5. Advanced Degree","1. Industrial",136.876367635184
2005,53,"2. Married","1. White","2. HS Grad","2. Information",75.0431540173515
2004,55,"2. Married","1. White","3. Some College","2. Information",130.220832358777
2003,57,"2. Married","2. Black","2. HS Grad","2. Information",NA
2005,64,"2. Married","1. White","4. College Grad","2. Information",49.5553381215226
2007,43,"2. Married","1. White","2. HS Grad","1. Industrial",123.908567597957
2008,35,"2. Married","2. Black","3. Some College","2. Information",123.089699847943
2008,54,"2. Married","1. White","2. HS Grad","2. Information",78.155161407934
2007,45,"2. Married","1. White","2. HS Grad","2. Information",73.7757432746946
2003,NA,"4. Divorced","3. Asian","4. College Grad","2. Information",NA
2007,48,NA,"1. White","4. College Grad","2. Information",127.115743812184
2003,46,"2. Married","3. Asian","1. < HS Grad","1. Industrial",NA
2004,46,"2. Married","1. White","2. HS Grad","1. Industrial",NA
2009,55,"2. Married","1. White","1. < HS Grad","1. Industrial",85.3839403789827
2006,51,"2. Married","1. White","3. Some College","1. Industrial",128.680488220624
2005,49,"2. Married","1. White","3. Some College","1. Industrial",70.4760196469445
2008,34,"1. Never Married","1. White","3. Some College","1. Industrial",76.8936025176112
2007,53,"2. Married","1. White","3. Some College","1. Industrial",148.413159102577
2004,40,"2. Married","1. White","3. Some College","1. Industrial",148.413159102577
2009,50,"2. Married","1. White","3. Some College","1. Industrial",175.960883130401
2006,37,"4. Divorced","1. White","1. < HS Grad","2. Information",NA
2003,39,"2. Married","1. White","3. Some College","1. Industrial",145.143601176911
2004,52,"2. Married","1. White","4. College Grad","1. Industrial",99.6894636984864
2003,50,"2. Married","1. White","2. HS Grad","2. Information",141.08887439127
2006,48,"2. Married","1. White","4. College Grad","1. Industrial",123.089699847943
2006,47,"2. Married","1. White","2. HS Grad","1. Industrial",NA
2005,27,"2. Married","1. White","4. College Grad","1. Industrial",111.720849360989
2006,39,"2. Married","1. White","2. HS Grad","1. Industrial",103.90247060316
2009,44,"2. Married","2. Black","2. HS Grad","2. Information",118.884359339886
2003,37,"2. Married","2. Black","3. Some College","1. Industrial",151.591484239814
2006,52,"2. Married","1. White","2. HS Grad","1. Industrial",NA
2004,26,"1. Never Married","3. Asian","3. Some College","1. Industrial",99.6894636984864
2008,39,"2. Married","3. Asian","5. Advanced Degree","1. Industrial",99.6894636984864
2006,25,"2. Married","2. Black","2. HS Grad","1. Industrial",99.6894636984864
2005,31,"1. Never Married","1. White","4. College Grad","2. Information",94.0727147457005
2004,58,"2. Married","1. White","3. Some College","1. Industrial",152.216806827106
2005,30,"2. Married","1. White","4. College Grad","2. Information",104.921506533664
2004,27,"2. Married","1. White","1. < HS Grad","1. Industrial",NA
2003,40,"4. Divorced","1. White","2. HS Grad","1. Industrial",NA
2006,55,"2. Married","1. White","5. Advanced Degree",NA,173.879493310012
2009,35,"2. Married","3. Asian","5. Advanced Degree","2. Information",193.411070530969
2008,48,"2. Married","1. White","2. HS Grad","1. Industrial",114.475713290347
2006,29,"1. Never Married","3. Asian","4. College Grad","1. Industrial",160.642475408263
2005,25,"1. Never Married","1. White","3. Some College","1. Industrial",89.4924795180001
2004,40,"2. Married","1. White","3. Some College","1. Industrial",120.589436530402
2006,27,"2. Married","1. White","1. < HS Grad","2. Information",NA
2006,44,"2. Married","1. White","2. HS Grad","2. Information",127.115743812184
2006,49,"2. Married","1. White","3. Some College","2. Information",118.884359339886
2003,22,"1. Never Married","1. White","3. Some College","1. Industrial",34.6074177301288
2007,45,"2. Married","1. White","3. Some College","1. Industrial",114.475713290347
2007,33,"2. Married","1. White","3. Some College","1. Industrial",85.3839403789827
2007,63,"2. Married","2. Black","5. Advanced Degree","2. Information",318.342430056529
2006,49,"1. Never Married","2. Black","4. College Grad","1. Industrial",141.77517233318
2005,39,"1. Never Married","1. White","5. Advanced Degree","2. Information",130.982177377461
2007,25,"1. Never Married","4. Other","1. < HS Grad","1. Industrial",73.7757432746946
2005,29,"1. Never Married","1. White","5. Advanced Degree",NA,130.982177377461
2006,37,"2. Married","1. White","2. HS Grad","1. Industrial",75.0431540173515
2008,35,"2. Married","1. White","5. Advanced Degree","2. Information",154.990260276812
2009,46,"2. Married","1. White","2. HS Grad","1. Industrial",104.921506533664
2008,58,"2. Married","1. White","4. College Grad","1. Industrial",73.118306923864
2003,39,"2. Married","1. White","5. Advanced Degree","1. Industrial",123.089699847943
2008,41,"2. Married",NA,"4. College Grad","2. Information",157.700527725737
2008,29,"2. Married","2. Black","4. College Grad","2. Information",81.2832532842527
2009,37,"2. Married","1. White","4. College Grad","2. Information",107.256062128429
2009,62,"2. Married","1. White","2. HS Grad","2. Information",78.9816745162994
2008,27,"1. Never Married","2. Black","2. HS Grad","1. Industrial",NA
2003,37,"2. Married","1. White","2. HS Grad","1. Industrial",NA
2006,56,"5. Separated","3. Asian","4. College Grad","2. Information",99.6894636984864
2004,36,"2. Married","1. White","3. Some College","2. Information",176.989650489877
2005,23,"1. Never Married","4. Other","2. HS Grad","2. Information",73.7757432746946
2003,46,"2. Married","1. White","3. Some College","2. Information",99.6894636984864
2009,26,"1. Never Married","1. White","3. Some College","1. Industrial",94.0727147457005
2006,43,"2. Married","1. White","1. < HS Grad","2. Information",95.2307125669819
2007,36,"2. Married","1. White","2. HS Grad","2. Information",127.115743812184
2003,54,"5. Separated","1. White","3. Some College","2. Information",NA
2003,62,"2. Married","1. White","2. HS Grad","1. Industrial",95.6888119067371
2006,40,"2. Married","1. White","2. HS Grad","1. Industrial",109.833985642199
2006,53,"2. Married","1. White","3. Some College","1. Industrial",118.884359339886
2007,48,"2. Married","1. White","5. Advanced Degree","2. Information",176.989650489877
2004,23,"2. Married","1. White","4. College Grad","1. Industrial",61.1875264339915
2009,34,"2. Married","1. White","2. HS Grad","1. Industrial",NA
2004,43,"2. Married","1. White","4. College Grad","2. Information",256.400649562425
2006,55,"2. Married","1. White","2. HS Grad","2. Information",81.2832532842527
2007,59,"1. Never Married","1. White","2. HS Grad","2. Information",81.2832532842527
2007,60,"2. Married","1. White","2. HS Grad","2. Information",55.7673905084923
2009,49,"1. Never Married","1. White","2. HS Grad","1. Industrial",75.3556793180091
2006,45,"2. Married","3. Asian","3. Some College","1. Industrial",130.982177377461
2006,31,"4. Divorced","1. White","2. HS Grad","1. Industrial",NA
2004,34,"1. Never Married","1. White","4. College Grad","2. Information",114.475713290347
2005,26,"1. Never Married","1. White","5. Advanced Degree","2. Information",114.475713290347
2007,22,"1. Never Married","1. White","2. HS Grad","1. Industrial",81.2832532842527
2004,40,"2. Married","1. White","2. HS Grad","2. Information",68.5721657022738
2009,41,"2. Married","1. White","3. Some College","2. Information",109.833985642199
2006,36,"1. Never Married","2. Black","3. Some College","1. Industrial",97.4932940453934
2007,38,"2. Married","1. White","1. < HS Grad","1. Industrial",62.3983547205685
2003,48,"2. Married","1. White","2. HS Grad","1. Industrial",NA
2006,47,"2. Married","1. White","3. Some College","2. Information",134.705375118879
2005,47,"5. Separated","1. White","1. < HS Grad","1. Industrial",NA
2007,35,"2. Married","1. White","4. College Grad","2. Information",118.884359339886
2008,49,"2. Married","3. Asian","2. HS Grad","2. Information",65.1108537153447
2004,40,"2. Married","1. White","3. Some College","2. Information",109.833985642199
2004,32,"3. Widowed","3. Asian","4. College Grad","1. Industrial",104.921506533664
2008,57,"2. Married","1. White","4. College Grad","1. Industrial",73.7757432746946
2008,56,"2. Married","1. White","4. College Grad","1. Industrial",141.77517233318
2009,73,"2. Married","1. White","1. < HS Grad","1. Industrial",NA
2007,29,"1. Never Married","1. White","2. HS Grad","1. Industrial",NA
2003,49,"2. Married","3. Asian","5. Advanced Degree","1. Industrial",134.705375118879
2009,30,"1. Never Married","1. White","2. HS Grad","1. Industrial",109.833985642199
2008,29,"2. Married","1. White","2. HS Grad","1. Industrial",91.6992261117042
2004,36,"2. Married","1. White","3. Some College","2. Information",95.2307125669819
2009,39,"2. Married","1. White","5. Advanced Degree","2. Information",156.503510882633
2007,48,"2. Married","1. White","4. College Grad","2. Information",104.921506533664
2006,45,"2. Married","2. Black","4. College Grad","1. Industrial",99.6894636984864
2004,50,"2. Married","1. White","4. College Grad","1. Industrial",54.5981500331442
2003,42,"2. Married","1. White","4. College Grad","2. Information",32.3664131748549
2007,58,"2. Married","1. White","3. Some College","1. Industrial",118.884359339886
2007,48,"2. Married","1. White","2. HS Grad","1. Industrial",NA
2003,48,"2. Married","1. White","4. College Grad","1. Industrial",109.833985642199
2005,45,"2. Married","1. White","3. Some College","2. Information",118.884359339886
2007,41,"4. Divorced","1. White","3. Some College","1. Industrial",NA
2008,27,"1. Never Married","1. White","2. HS Grad","1. Industrial",93.5572673479306
2004,44,"2. Married",NA,"2. HS Grad","2. Information",109.833985642199
2003,32,"2. Married","1. White","4. College Grad","2. Information",118.884359339886
2006,46,"2. Married","1. White","1. < HS Grad","2. Information",118.884359339886
2005,52,"2. Married","2. Black","2. HS Grad","2. Information",52.1561711699147
2003,22,"1. Never Married","1. White","3. Some College","1. Industrial",43.7351116779821
2004,53,"3. Widowed","1. White","2. HS Grad","1. Industrial",NA
2008,34,"2. Married","1. White","5. Advanced Degree","1. Industrial",118.884359339886
2009,38,"2. Married","1. White","2. HS Grad","1. Industrial",148.413159102577
2009,42,"2. Married","1. White","1. < HS Grad","2. Information",101.82435207568
2005,25,"1. Never Married","2. Black","3. Some College","2. Information",94.0727147457005
2004,29,"1. Never Married","1. White","3. Some College","1. Industrial",86.6951548289402
2005,28,"2. Married","1. White","5. Advanced Degree","2. Information",141.77517233318
2005,46,"2. Married","1. White","4. College Grad","1. Industrial",66.9616443217359
2007,55,"2. Married","2. Black","5. Advanced Degree","2. Information",118.884359339886
2004,56,"2. Married","1. White","2. HS Grad","1. Industrial",105.767639622758
2005,41,"4. Divorced","2. Black","2. HS Grad","2. Information",NA
2009,61,"2. Married","1. White","5. Advanced Degree","2. Information",176.989650489877
2003,47,"2. Married",NA,"2. HS Grad","2. Information",65.1108537153447
2006,52,"2. Married","1. White","3. Some College","1. Industrial",85.3839403789827
2004,27,"2. Married","1. White","2. HS Grad","1. Industrial",72.1504556815713
2007,33,"1. Never Married","2. Black","3. Some College","2. Information",89.2428846644714
2003,58,"1. Never Married","1. White","2. HS Grad","2. Information",65.1108537153447
2005,27,"2. Married","1. White","4. College Grad","1. Industrial",145.805163374625
2009,52,"5. Separated","2. Black","2. HS Grad","1. Industrial",NA
2003,45,"2. Married","1. White","5. Advanced Degree","1. Industrial",41.0998036301194
2003,22,"1. Never Married","1. White","2. HS Grad","2. Information",68.3956538035455
2005,25,"1. Never Married","1. White","3. Some College","1. Industrial",81.2832532842527
2004,25,"1. Never Married","1. White","2. HS Grad","1. Industrial",73.7757432746946
2005,41,"2. Married","2. Black","1. < HS Grad","1. Industrial",130.982177377461
2006,54,"5. Separated","1. White","4. College Grad","1. Industrial",NA
2007,23,"2. Married","1. White","2. HS Grad","1. Industrial",81.226746312023
2006,36,"1. Never Married","1. White","5. Advanced Degree","1. Industrial",63.1888610037461
2004,31,NA,"1. White","3. Some College","1. Industrial",NA
2006,52,"2. Married","1. White","2. HS Grad","2. Information",92.6581301668597
2007,46,"2. Married","2. Black","2. HS Grad","2. Information",76.8936025176112
2007,45,"2. Married","1. White","2. HS Grad","1. Industrial",118.884359339886
2009,40,"2. Married","1. White","2. HS Grad","1. Industrial",79.8549003093467
2004,33,"1. Never Married","3. Asian","4. College Grad","2. Information",86.6951548289402
2007,42,"2. Married","1. White","4. College Grad","2. Information",133.971500070695
2007,41,NA,"1. White","4. College Grad","2. Information",125.525498433836
2007,25,"1. Never Married","4. Other","2. HS Grad","1. Industrial",92.8958447894966
2005,24,"4. Divorced","1. White","2. HS Grad","1. Industrial",NA
2006,24,"1. Never Married","1. White","3. Some College","1. Industrial",118.884359339886
2008,51,"2. Married","1. White","2. HS Grad","2. Information",70.4760196469445
2004,41,"2. Married","1. White","2. HS Grad","1. Industrial",127.115743812184
2009,42,"1. Never Married","1. White","4. College Grad","2. Information",114.475713290347
2005,30,"1. Never Married","1. White","4. College Grad","1. Industrial",87.9810327856054
2009,55,"2. Married","3. Asian","1. < HS Grad","1. Industrial",NA
2008,23,"1. Never Married","1. White","2. HS Grad","1. Industrial",84.0459576539924
2003,60,"4. Divorced","1. White","4. College Grad","2. Information",NA
2003,40,"2. Married","3. Asian","5. Advanced Degree","2. Information",141.77517233318
2008,41,"1. Never Married","1. White","2. HS Grad","2. Information",110.782650276254
2003,80,"2. Married","1. White","2. HS Grad","2. Information",NA
2005,53,"2. Married","1. White","2. HS Grad","2. Information",97.4932940453934
2004,40,"1. Never Married","1. White","2. HS Grad","1. Industrial",NA
2009,35,"2. Married","1. White","3. Some College","1. Industrial",137.481247831663
2009,55,"2. Married","1. White","1. < HS Grad","1. Industrial",75.3556793180091
2008,24,"1. Never Married","1. White","2. HS Grad","2. Information",73.7757432746946
2007,39,"2. Married","1. White","4. College Grad","2. Information",148.413159102577
2003,30,"2. Married","1. White","5. Advanced Degree","1. Industrial",95.2307125669819
2005,68,"2. Married","1. White","2. HS Grad","1. Industrial",NA
2004,54,"2. Married","2. Black","2. HS Grad","2. Information",109.833985642199
2008,27,"1. Never Married","1. White","4. College Grad","1. Industrial",81.2832532842527
2005,34,"2. Married","1. White","2. HS Grad","1. Industrial",118.884359339886
2004,53,"2. Married","1. White","5. Advanced Degree","2. Information",127.115743812184
2004,48,"2. Married","2. Black","5. Advanced Degree","2. Information",85.3839403789827
2005,59,"2. Married","1. White","2. HS Grad","1. Industrial",NA
2004,30,"2. Married","1. White","3. Some College","1. Industrial",118.884359339886
2007,45,"2. Married","1. White","5. Advanced Degree","2. Information",163.515863976238
2007,39,"2. Married","4. Other","4. College Grad","2. Information",104.921506533664
2008,45,"2. Married","3. Asian","4. College Grad","1. Industrial",99.6894636984864
2007,43,NA,"1. White","5. Advanced Degree","2. Information",281.745970551857
2003,30,"1. Never Married","2. Black","5. Advanced Degree","2. Information",138.299126920883
2005,57,"2. Married","1. White","4. College Grad","2. Information",176.989650489877
2004,53,"2. Married","1. White","4. College Grad","2. Information",136.876367635184
2009,42,"2. Married","1. White","4. College Grad","2. Information",186.876677628007
2005,23,"1. Never Married","1. White","2. HS Grad","1. Industrial",90.4819133566401
2009,58,"2. Married","1. White","2. HS Grad","1. Industrial",NA
2005,43,"2. Married","1. White","1. < HS Grad","1. Industrial",NA
2003,33,"4. Divorced","1. White","5. Advanced Degree","2. Information",NA
2004,56,"2. Married","1. White","4. College Grad","2. Information",101.82435207568
2006,37,"2. Married","2. Black","4. College Grad","1. Industrial",108.874525834712
2009,41,"4. Divorced","1. White","5. Advanced Degree","1. Industrial",NA
2007,33,"2. Married","1. White","3. Some College","2. Information",92.8958447894966
2007,50,"1. Never Married","1. White","5. Advanced Degree","2. Information",126.323880709786
2003,43,"2. Married","1. White","5. Advanced Degree","2. Information",191.573683548412
2004,53,"2. Married","1. White","4. College Grad","1. Industrial",155.900506146767
2005,37,"3. Widowed","1. White","3. Some College","2. Information",87.9810327856054
2006,20,"1. Never Married","2. Black","3. Some College","2. Information",59.0970640815891
2003,26,"1. Never Married","1. White","3. Some College","1. Industrial",73.7757432746946
2003,29,"4. Divorced","1. White","4. College Grad","2. Information",NA
2008,57,"2. Married","1. White","4. College Grad","2. Information",118.884359339886
2009,47,"2. Married","1. White","3. Some College","2. Information",151.591484239814
2004,54,"2. Married","1. White","5. Advanced Degree","1. Industrial",272.294783220064
2007,38,"2. Married","1. White","1. < HS Grad","1. Industrial",97.4932940453934
2006,23,"1. Never Married","1. White","3. Some College","1. Industrial",68.111994065327
2004,31,NA,"1. White","2. HS Grad","2. Information",127.115743812184
2004,43,"2. Married","1. White","4. College Grad","2. Information",NA
2003,33,"2. Married","1. White","5. Advanced Degree","2. Information",111.720849360989
2004,48,"2. Married","1. White","2. HS Grad","1. Industrial",NA
2008,33,"2. Married","1. White","2. HS Grad","1. Industrial",NA
2009,52,"2. Married","1. White","4. College Grad","2. Information",114.475713290347
2008,30,"1. Never Married","2. Black","3. Some College","2. Information",69.7915308454408
2004,44,"2. Married","1. White","2. HS Grad","1. Industrial",94.0727147457005
2004,38,"2. Married","1. White","2. HS Grad","2. Information",127.273347006486
2008,51,"2. Married","1. White","2. HS Grad","1. Industrial",160.642475408263
2007,47,"2. Married","1. White","3. Some College","1. Industrial",171.765132627508
2005,28,"2. Married","1. White","4. College Grad","2. Information",141.77517233318
